X,Y,kom,stan,typ,stav,ku,NAZ_CZNUTS3
14.49948,50.02579,D1,"1.034",pilon,řešeno,Chodov,Hlavní město Praha
14.6121,50.10113,D11,"0.885",most,odstraněno,Horní Počernice,Hlavní město Praha
14.33721,50.01473,D0,"0.083",pilon,řešeno,Slivenec,Hlavní město Praha
14.34174,50.0153,D0,"0.469",samostatně,řešeno,Slivenec,Hlavní město Praha
14.34168,50.01554,D0,"0.05",samostatně,řešeno,Slivenec,Hlavní město Praha
14.34174,50.0149,D0,"0.213",pilon,řešeno,Slivenec,Hlavní město Praha
14.34055,50.01555,D0,"0.123",pilon,řešeno,Slivenec,Hlavní město Praha
14.34079,50.01146,D0,"15.534",pilon,řešeno,Slivenec,Hlavní město Praha
14.34166,50.00846,D0,"15.184",pilon,řešeno,Slivenec,Hlavní město Praha
14.34123,50.01266,D0,"15.654",samostatně,řešeno,Slivenec,Hlavní město Praha
14.30884,50.02428,D0,"18.55",samostatně,řešeno,Řeporyje,Hlavní město Praha
14.31609,50.02403,D0,"18.035",most,odstraněno,Řeporyje,Hlavní město Praha
14.32442,50.02356,D0,"17.437",samostatně,řešeno,Řeporyje,Hlavní město Praha
14.31626,50.02403,D0,"18.031",most,odstraněno,Řeporyje,Hlavní město Praha
14.29809,50.02516,D0,"19.339",most,odstraněno,Řeporyje,Hlavní město Praha
14.27045,50.03972,D0,"21.969",pilon,řešeno,Třebonice,Hlavní město Praha
14.27514,50.03556,D0,"21.376",beton sloup,řešeno,Třebonice,Hlavní město Praha
14.27136,50.03908,D0,"21.885",pilon,řešeno,Třebonice,Hlavní město Praha
14.27026,50.04312,D0,"22.332",most,odstraněno,Třebonice,Hlavní město Praha
14.27428,50.04889,D0,"23.035",pilon,řešeno,Třebonice,Hlavní město Praha
14.27707,50.0595,D0,"24.256",pilon,řešeno,Zličín,Hlavní město Praha
14.29561,50.08782,D0,"27.762",pilon,řešeno,Ruzyně,Hlavní město Praha
14.29336,50.08131,D0,"27,1",pilon,řešeno,Ruzyně,Hlavní město Praha
14.27027,50.04325,D0,"22.363",most,odstraněno,Třebonice,Hlavní město Praha
14.27413,50.05096,D0,"23,3",pilon,řešeno,Třebonice,Hlavní město Praha
14.59332,50.096,D0,"60.799",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.59371,50.09495,D0,"60.926",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.59482,50.0884,D0,"61.651",most,odstraněno,Dolní Počernice,Hlavní město Praha
14.59299,50.08005,D0,"62.595",pilon,řešeno,Běchovice,Hlavní město Praha
14.595,50.09196,D0,"61.286",samostatně,řešeno,Dolní Počernice,Hlavní město Praha
14.59444,50.09594,D0,"60.836",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.5881,50.11086,D0,"59.084",most,odstraněno,Horní Počernice,Hlavní město Praha
14.58667,50.11077,D0,"59",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58749,50.11052,D0,"59.116",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58766,50.11078,D0,"59.091",most,odstraněno,Horní Počernice,Hlavní město Praha
14.59512,50.09067,D0,"61.371",samostatně,řešeno,Dolní Počernice,Hlavní město Praha
14.4933,50.03122,D1,"0.279",most,řešeno,Chodov,Hlavní město Praha
14.49356,50.03124,D1,"0.26",most,řešeno,Chodov,Hlavní město Praha
14.5052,50.02424,D1,"1.432", ,odstraněno,Chodov,Hlavní město Praha
14.50859,50.02251,D1,"1.777",most,odstraněno,Chodov,Hlavní město Praha
14.50895,50.02249,D1,"1.759",most,odstraněno,Chodov,Hlavní město Praha
14.54667,50.00902,D1,"4.857",most,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.341,50.00715,D0,"15.054",samostatně,řešeno,Slivenec,Hlavní město Praha
14.34107,50.00795,D0,"15.143",pilon,řešeno,Slivenec,Hlavní město Praha
14.34089,50.00867,D0,"15.224",pilon,řešeno,Slivenec,Hlavní město Praha
14.34166,50.00965,D0,"15.317",pilon,řešeno,Slivenec,Hlavní město Praha
14.34166,50.01057,D0,"15.418",pilon,řešeno,Slivenec,Hlavní město Praha
14.34074,50.0112,D0,"15.506",pilon,řešeno,Slivenec,Hlavní město Praha
14.34115,50.01327,D0,"0.023",pilon,řešeno,Slivenec,Hlavní město Praha
14.3402,50.01351,D0,"15.769",pilon,řešeno,Slivenec,Hlavní město Praha
14.34131,50.01417,D0,"0.133",samostatně,řešeno,Slivenec,Hlavní město Praha
14.33925,50.01423,D0,"0.256",pilon,řešeno,Slivenec,Hlavní město Praha
14.34203,50.01547,D0,"0.497",stojka  H profil,řešeno,Slivenec,Hlavní město Praha
14.34259,50.01607,D0,"0.028",samostatně,řešeno,Slivenec,Hlavní město Praha
14.33836,50.01642,D0,"16,1",pilon,řešeno,Slivenec,Hlavní město Praha
14.33873,50.01692,D0,"16.15",beton sloup,řešeno,Slivenec,Hlavní město Praha
14.33844,50.01747,D0,"16,212",samostatně,řešeno,Slivenec,Hlavní město Praha
14.3377,50.01707,D0,"16.215",samostatně,řešeno,Slivenec,Hlavní město Praha
14.33725,50.01771,D0,"16.302",samostatně,řešeno,Slivenec,Hlavní město Praha
14.33747,50.01812,D0,"16.311",samostatně,řešeno,Slivenec,Hlavní město Praha
14.33688,50.01864,D0,"16.382",2 stojky I profil propojeny plechem,řešeno,Slivenec,Hlavní město Praha
14.33659,50.01889,D0,"16.41",samostatně,řešeno,Slivenec,Hlavní město Praha
14.33616,50.01929,D0,"16.459",samostatně,řešeno,Slivenec,Hlavní město Praha
14.33132,50.02182,D0,"16.926",samostatně,řešeno,Holyně,Hlavní město Praha
14.32951,50.02249,D0,"17.062",samostatně,řešeno,Řeporyje,Hlavní město Praha
14.3292,50.02217,D0,"17.065",samostatně,řešeno,Řeporyje,Hlavní město Praha
14.32017,50.02395,D0,"17.751",samostatně,řešeno,Řeporyje,Hlavní město Praha
14.30782,50.02437,D0,"18.628",pilon,řešeno,Řeporyje,Hlavní město Praha
14.3082,50.02468,D0,"18.606",pilon,řešeno,Řeporyje,Hlavní město Praha
14.29636,50.02563,D0,"19,4",samostatně,řešeno,Řeporyje,Hlavní město Praha
14.29081,50.02648,D0,"19.874",pilon,řešeno,Řeporyje,Hlavní město Praha
14.28942,50.02754,D0,"20.021",samostatně,řešeno,Třebonice,Hlavní město Praha
14.2777,50.03462,D0,"21.171",pilon,řešeno,Třebonice,Hlavní město Praha
14.27717,50.03467,D0,"21.207",samostatně,řešeno,Třebonice,Hlavní město Praha
14.27423,50.0362,D0,"21.49",pilon,řešeno,Třebonice,Hlavní město Praha
14.2732,50.03723,D0,"21.619",ocel sloup,řešeno,Třebonice,Hlavní město Praha
14.27204,50.03745,D0,"21.694",pilon,řešeno,Třebonice,Hlavní město Praha
14.27159,50.03869,D0,"21.822",samostatně,řešeno,Třebonice,Hlavní město Praha
14.27142,50.03893,D0,"21.854",samostatně,řešeno,Třebonice,Hlavní město Praha
14.27074,50.04414,D0,"22.448",pilon,řešeno,Třebonice,Hlavní město Praha
14.27105,50.0447,D0,"22.521",samostatně,řešeno,Třebonice,Hlavní město Praha
14.27354,50.04926,D0,"23,1",pilon,řešeno,Třebonice,Hlavní město Praha
14.27662,50.05306,D0,"23.52",most,řešeno,Třebonice,Hlavní město Praha
14.2766,50.05294,D0,"23.566",most,řešeno,Třebonice,Hlavní město Praha
14.27644,50.05657,D0,"23.942",samostatně,řešeno,Zličín,Hlavní město Praha
14.2804,50.06718,D0,"25.186",pilon,řešeno,Zličín,Hlavní město Praha
14.28346,50.06895,D0,"25.433",most,odstraněno,Zličín,Hlavní město Praha
14.28358,50.06909,D0,"25.495",most,odstraněno,Zličín,Hlavní město Praha
14.2856,50.07075,D0,"25.685",most,řešeno,Zličín,Hlavní město Praha
14.29212,50.07883,D0,"26.73",pilon,řešeno,Ruzyně,Hlavní město Praha
14.29426,50.08374,D0,"27,3",pilon,řešeno,Ruzyně,Hlavní město Praha
14.29561,50.08995,D0,"27.992",most,řešeno,Ruzyně,Hlavní město Praha
14.2956,50.09004,D0,"28.008",most,řešeno,Ruzyně,Hlavní město Praha
14.29607,50.0937,D0,"28.412",most,řešeno,Ruzyně,Hlavní město Praha
14.29553,50.09675,D0,"28.754",pilon,řešeno,Ruzyně,Hlavní město Praha
14.58539,50.11089,D0,"0.18",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.5858,50.11095,D0,"0.16",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58699,50.11047,D0,"59,1",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58742,50.1109,D0,"59.078",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58952,50.11164,D0,"0.126",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58914,50.11118,D0,"0.183",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58843,50.11067,D0,"59.095",Budova,řešeno,Horní Počernice,Hlavní město Praha
14.58764,50.10966,D0,"59.217",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.58883,50.10837,D0,"59.36",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.58949,50.10636,D0,"59.592",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.5909,50.10296,D0,"59.994",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.59424,50.09598,D0,"60.823",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.59468,50.09422,D0,"61.003",samostatně,řešeno,Dolní Počernice,Hlavní město Praha
14.59477,50.08833,D0,"61.663",most,odstraněno,Dolní Počernice,Hlavní město Praha
14.59479,50.08552,D0,"61.962",pilon,řešeno,Dolní Počernice,Hlavní město Praha
14.59463,50.085,D0,"62.032",pilon,řešeno,Dolní Počernice,Hlavní město Praha
14.59361,50.08163,D0,"62.418", ,odstraněno,Dolní Počernice,Hlavní město Praha
14.59026,50.08084,D0,"0.09",osvětlení,řešeno,Běchovice,Hlavní město Praha
14.5906,50.08091,D0,"0.083",osvětlení,odstraněno,Běchovice,Hlavní město Praha
14.59163,50.08005,D0,"0.023",samostatně,řešeno,Běchovice,Hlavní město Praha
14.59163,50.07931,D0,"62.722",pilon,řešeno,Běchovice,Hlavní město Praha
14.59571,50.08047,D0,"0.153",osvětlení,odstraněno,Běchovice,Hlavní město Praha
14.64054,50.10957,D11,"3,15", ,odstraněno,Horní Počernice,Hlavní město Praha
14.64004,50.10951,D11,"3,15", ,odstraněno,Horní Počernice,Hlavní město Praha
14.63995,50.1095,D11,"3,15", ,odstraněno,Horní Počernice,Hlavní město Praha
14.637,50.10828,D11,"2.831",totem,není RZ,Horní Počernice,Hlavní město Praha
14.63609,50.10809,D11,"2.751",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.60734,50.12332,D10,"2,45", ,řešeno,Horní Počernice,Hlavní město Praha
14.60742,50.12335,D10,"2,5", ,řešeno,Horní Počernice,Hlavní město Praha
14.60749,50.12337,D10,"2,55", ,řešeno,Horní Počernice,Hlavní město Praha
14.60764,50.12338,D10,"2,60", ,řešeno,Horní Počernice,Hlavní město Praha
14.62166,50.12704,D10,"3,4", ,řešeno,Horní Počernice,Hlavní město Praha
14.60918,50.12371,D10,"2,95", ,řešeno,Horní Počernice,Hlavní město Praha
14.61095,50.12413,D10,"3,15", ,řešeno,Horní Počernice,Hlavní město Praha
14.61101,50.12414,D10,"3,15", ,řešeno,Horní Počernice,Hlavní město Praha
14.6235,50.12766,D10,"3,6", ,řešeno,Horní Počernice,Hlavní město Praha
14.62451,50.12667,D10,"3,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.62439,50.12646,D10,"3,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.62424,50.12619,D10,"3,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.62398,50.12586,D10,"3,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.62374,50.12563,D10,"3,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.62192,50.1274,D10,"3,5",most,řešeno,Horní Počernice,Hlavní město Praha
14.62069,50.12716,D10,"3,45", ,řešeno,Horní Počernice,Hlavní město Praha
14.61949,50.12682,D10,"3,3", ,řešeno,Horní Počernice,Hlavní město Praha
14.61831,50.12645,D10,"3,2", ,řešeno,Horní Počernice,Hlavní město Praha
14.61756,50.12623,D10,"2,45", ,řešeno,Horní Počernice,Hlavní město Praha
14.61716,50.12613,D10,"3,2", ,řešeno,Horní Počernice,Hlavní město Praha
14.61668,50.12601,D10,"3,2", ,řešeno,Horní Počernice,Hlavní město Praha
14.61239,50.1249,D10,"2,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.6116,50.12476,D10,"2,65", ,řešeno,Horní Počernice,Hlavní město Praha
14.61119,50.12465,D10,"2,6", ,řešeno,Horní Počernice,Hlavní město Praha
14.61077,50.12454,D10,"2,5", ,řešeno,Horní Počernice,Hlavní město Praha
14.609,50.1241,D10,"2,45", ,řešeno,Horní Počernice,Hlavní město Praha
14.60804,50.12393,D10,"2,4", ,řešeno,Horní Počernice,Hlavní město Praha
14.60736,50.12381,D10,"2,3", ,řešeno,Horní Počernice,Hlavní město Praha
14.60368,50.12298,D10,"2,1", ,řešeno,Horní Počernice,Hlavní město Praha
14.59833,50.12191,D10,"1,65", ,řešeno,Horní Počernice,Hlavní město Praha
14.59871,50.12197,D10,"1,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.59886,50.12205,D10,"1,7", ,řešeno,Horní Počernice,Hlavní město Praha
14.5989,50.12213,D10,"1,75", ,řešeno,Horní Počernice,Hlavní město Praha
14.59714,50.12164,D10,"1,5", ,řešeno,Horní Počernice,Hlavní město Praha
14.59656,50.12151,D10,"1,3", ,řešeno,Horní Počernice,Hlavní město Praha
14.60291,50.12262,D10, ,most,řešeno,Satalice,Hlavní město Praha
14.60309,50.12266,D10,"2,03",most,řešeno,Satalice,Hlavní město Praha
14.60571,50.12302,D10,"2,2", ,řešeno,Horní Počernice,Hlavní město Praha
14.60698,50.123,D10,"2,25", ,řešeno,Horní Počernice,Hlavní město Praha
14.61199,50.10104,D11,"0,871",most,dílčí odstranění,Horní Počernice,Hlavní město Praha
14.64144,50.10949,D11,"3,176",most,dílčí odstranění,Horní Počernice,Hlavní město Praha
14.64157,50.10947,D11,"3,2",most,dílčí odstranění,Horní Počernice,Hlavní město Praha
14.59157,50.09797,D0,"60,5",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58824,50.09992,D0,"60,4",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.58884,50.1004,D0,"60,3",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58749,50.10024,D0,"60,4",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58846,50.10044,D0,"60,3",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58813,50.10069,D0,"60,2",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.58741,50.10078,D0,"60,1",samostatně,řešeno,Černý Most,Hlavní město Praha
14.58387,50.11047,D0,"59",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.58485,50.11015,D0,"59,1",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.58881,50.11104,D0,"59,12",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.58902,50.11107,D0,"59",jiné,řešeno,Horní Počernice,Hlavní město Praha
14.58597,50.10195,D0,"59,9",valník,řešeno,Černý Most,Hlavní město Praha
14.58759,50.1026,D0,"59,7",pilon,řešeno,Černý Most,Hlavní město Praha
14.58816,50.10282,D0,"59,9",pilon,řešeno,Černý Most,Hlavní město Praha
14.58693,50.10264,D0,"59,9",samostatně,řešeno,Černý Most,Hlavní město Praha
14.33415,50.02025,D0,"16,65",most,odstraněno,Slivenec,Hlavní město Praha
14.334,50.02029,D0,"16,7",most,řešeno,Slivenec,Hlavní město Praha
14.29168,50.0266,D0,"19,8",Oplocení,řešeno,Řeporyje,Hlavní město Praha
14.27392,50.04892,D0,"23,101",most,odstraněno,Třebonice,Hlavní město Praha
14.27414,50.04922,D0,"23,101",most,odstraněno,Třebonice,Hlavní město Praha
14.27752,50.05862,D0,"24,156",Budova,řešeno,Zličín,Hlavní město Praha
14.28567,50.07081,D0,"25.685",most,řešeno,Zličín,Hlavní město Praha
14.29605,50.09402,D0,"28.45",most,řešeno,Ruzyně,Hlavní město Praha
14.59408,50.08159,D0,"62.418", ,řešeno,Dolní Počernice,Hlavní město Praha
14.50585,50.02413,D1,"1,435", ,dílčí odstranění,Chodov,Hlavní město Praha
14.59493,50.08829,D0,"61.663",most,řešeno,Dolní Počernice,Hlavní město Praha
14.54667,50.00896,D1,"4.857",most,řešeno,Újezd u Průhonic,Hlavní město Praha
14.54656,50.00889,D1,"4.899",most,řešeno,Újezd u Průhonic,Hlavní město Praha
14.49177,50.0334,D1,"0,2", ,řešeno,Chodov,Hlavní město Praha
14.5859,50.10141,D11,"0.500000",samostatně,řešeno,Černý Most,Hlavní město Praha
14.59469,50.0884,D0,"61.651",M,řešeno,Dolní Počernice,Hlavní město Praha
15.21691,50.21522,"32","11.579", ,odstraněno,Velenice,Středočeský kraj
15.26842,49.9882,"38","91.057", ,odstraněno,Libenice,Středočeský kraj
15.24975,49.9951,"38","89.512", ,odstraněno,Libenice,Středočeský kraj
14.94318,50.43561,D10,"47.485", ,odstraněno,Kosmonosy,Středočeský kraj
14.66473,49.53135,D3,"63.674",totem,není RZ,Mitrovice,Středočeský kraj
14.66475,49.53213,D3,"63.587",totem,není RZ,Mitrovice,Středočeský kraj
14.66533,49.53154,D3,"63.659", ,řešeno,Mitrovice,Středočeský kraj
14.66563,49.53191,D3,"63.6", ,řešeno,Mitrovice,Středočeský kraj
14.66478,49.53198,D3,"63.602", ,řešeno,Mitrovice,Středočeský kraj
14.66506,49.53237,D3,"63.563", ,řešeno,Mitrovice,Středočeský kraj
14.66402,49.53373,D3,"63.42", ,řešeno,Mitrovice,Středočeský kraj
14.66401,49.5341,D3,"63.379",totem,není RZ,Mitrovice,Středočeský kraj
14.7107,49.91185,"3","0.003", ,odstraněno,Mirošovice u Říčan,Středočeský kraj
14.05359,49.62065,"4","51.822", ,odstraněno,Rtišovice,Středočeský kraj
14.07109,49.58348,"4","56.2", ,odstraněno,Chraštice,Středočeský kraj
14.05023,49.64443,"4","49.157", ,odstraněno,Milín,Středočeský kraj
14.06194,49.60438,"4","53.737", ,řešeno,Mýšlovice,Středočeský kraj
14.05301,49.62026,"4","51.858", ,odstraněno,Mýšlovice,Středočeský kraj
14.07105,49.58366,"4","56.18", ,odstraněno,Chraštice,Středočeský kraj
14.06925,49.59224,"4","55.188", ,odstraněno,Těchařovice,Středočeský kraj
14.07296,49.58093,"4","56.499", ,odstraněno,Chraštice,Středočeský kraj
14.07319,49.58053,"4","56.547", ,odstraněno,Chraštice,Středočeský kraj
14.07756,49.57306,"4","57.468", ,odstraněno,Chraštice,Středočeský kraj
14.07782,49.57294,"4","57.481", ,odstraněno,Chraštice,Středočeský kraj
14.07782,49.57244,"4","57.536", ,odstraněno,Chraštice,Středočeský kraj
14.07789,49.5713,"4","57.664", ,odstraněno,Chraštice,Středočeský kraj
14.45978,50.17016,D8,"1.518", ,odstraněno,Zdiby,Středočeský kraj
14.70895,50.12282,D11,"8.3",most,odstraněno,Jirny,Středočeský kraj
14.70784,50.12272,D11,"8.21",most,řešeno,Jirny,Středočeský kraj
15.18467,50.15747,"32","4.589", ,řešeno,Okřínek,Středočeský kraj
14.71177,50.0705,"12","0.862", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.7116,50.07044,"12","0.853", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.70271,50.0722,"12","0.188", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.70241,50.07231,"12","0.165", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.71817,50.06935,"12","1.338", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.72222,50.06843,"12","1.647", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.72241,50.06847,"12","1.659", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.72278,50.06827,"12","1.689", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.72384,50.06809,"12","1.768", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.72387,50.06808,"12","1.77", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73116,50.06882,"12","2.302", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73093,50.06878,"12","2.285", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73053,50.06867,"12","2.253", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73104,50.06875,"12","2.29", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73153,50.06894,"12","2.331", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73204,50.06913,"12","2.373", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73252,50.06915,"12","2.405", ,řešeno,Úvaly u Prahy,Středočeský kraj
14.73937,50.07098,"12","2.936", ,řešeno,Tuklaty,Středočeský kraj
14.74681,50.07248,"12","3.492", ,řešeno,Tuklaty,Středočeský kraj
14.74576,50.07222,"12","3.414", ,řešeno,Tuklaty,Středočeský kraj
14.7593,50.0723,"12","4.387", ,řešeno,Tuklaty,Středočeský kraj
14.75934,50.07239,"12","4.389", ,řešeno,Tuklaty,Středočeský kraj
14.77224,50.07196,"12","5.313", ,řešeno,Tuklaty,Středočeský kraj
14.77245,50.0719,"12","5.329", ,řešeno,Tuklaty,Středočeský kraj
14.77322,50.07184,"12","5.383", ,řešeno,Tuklaty,Středočeský kraj
14.80991,50.07085,"12","8.012", ,řešeno,Rostoklaty,Středočeský kraj
14.81032,50.07074,"12","8.042", ,řešeno,Rostoklaty,Středočeský kraj
14.81135,50.07077,"12","8.116", ,řešeno,Nová Ves II,Středočeský kraj
14.81753,50.07053,"12","8.56", ,řešeno,Nová Ves II,Středočeský kraj
14.81918,50.07037,"12","8.68", ,řešeno,Nová Ves II,Středočeský kraj
14.82013,50.07035,"12","8.748", ,řešeno,Nová Ves II,Středočeský kraj
14.83631,50.06675,"12","9.978", ,řešeno,Český Brod,Středočeský kraj
14.81252,50.07076,"12","8.2", ,řešeno,Nová Ves II,Středočeský kraj
14.73122,50.12598,D11,"9.93",most,odstraněno,Nehvizdy,Středočeský kraj
14.10662,49.71629,D4,"39.025", ,odstraněno,Drásov u Příbramě,Středočeský kraj
15.14444,50.10299,"38","72.92", ,odstraněno,Oseček,Středočeský kraj
15.14866,50.11792,D11,"40.509", ,odstraněno,Oseček,Středočeský kraj
13.86789,49.85266,D5,"37.082", ,řešeno,Záluží u Hořovic,Středočeský kraj
14.27081,50.03882,D0,"21.867",pilon,řešeno,Jinočany,Středočeský kraj
15.10562,50.1269,"38","69.029", ,řešeno,Kluk,Středočeský kraj
13.98275,49.91077,D5,"26.358",pilon,řešeno,Zdice,Středočeský kraj
13.99628,49.91634,D5,"25.201",pilon,není RZ,Levín u Berouna,Středočeský kraj
14.05525,49.95425,D5,"19.276", ,odstraněno,Beroun,Středočeský kraj
15.04629,50.43375,"16","98.07", ,odstraněno,Obrubce,Středočeský kraj
14.89456,49.80694,D1,"40.079", ,odstraněno,Měchnov,Středočeský kraj
14.88326,49.81152,D1,"39.173", ,odstraněno,Drahňovice,Středočeský kraj
14.88128,49.81335,D1,"38.878", ,odstraněno,Drahňovice,Středočeský kraj
14.88039,49.81402,D1,"38.78", ,odstraněno,Drahňovice,Středočeský kraj
