X,Y,kom,stan,typ,stav,ku,NAZ_CZNUTS3
14.58884,50.10022,D11,"0.00", ,odstraněno,Horní Počernice,Hlavní město Praha
14.58845,50.10036,D11,"0", ,odstraněno,Horní Počernice,Hlavní město Praha
14.58718,50.10066,D11,"0", ,odstraněno,Černý Most,Hlavní město Praha
14.58743,50.1003,D11,"0", ,odstraněno,Horní Počernice,Hlavní město Praha
14.64697,50.1114,D11,"3.633",totem,není RZ,Horní Počernice,Hlavní město Praha
14.61655,50.10294,D11,"1.262",most,odstraněno,Horní Počernice,Hlavní město Praha
14.29789,50.02515,D0,"19.342",most,odstraněno,Řeporyje,Hlavní město Praha
14.5886,50.10573,D0,"59.642",totem,není RZ,Horní Počernice,Hlavní město Praha
14.28365,50.06959,D0,"25.544", ,odstraněno,Zličín,Hlavní město Praha
14.28356,50.06877,D0,"25.423",most,odstraněno,Zličín,Hlavní město Praha
14.29662,50.02512,D0,"19.433", ,řešeno,Řeporyje,Hlavní město Praha
14.28517,50.07833,"6","0.159", ,řešeno,Ruzyně,Hlavní město Praha
14.54281,50.00993,D1,"4.553", ,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.54173,50.01019,D1,"4.491", ,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.5411,50.01036,D1,"4.45", ,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.5405,50.01053,D1,"4.379", ,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.52362,50.01644,D1,"3.051", ,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.52215,50.01704,D1,"2.92", ,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.51944,50.01809,D1,"2.694", ,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.6398,50.10943,D11,"3,15",totem,není RZ,Horní Počernice,Hlavní město Praha
14.64023,50.10945,D11,"3,15",totem,není RZ,Horní Počernice,Hlavní město Praha
14.65572,50.11272,D11,"4.255", ,odstraněno,Horní Počernice,Hlavní město Praha
14.65313,50.11237,D11,"4.085", ,odstraněno,Horní Počernice,Hlavní město Praha
14.651,50.11138,D11,"3.886",samostatně,odstraněno,Horní Počernice,Hlavní město Praha
14.64021,50.10898,D11,"3.071", ,odstraněno,Horní Počernice,Hlavní město Praha
14.63904,50.10915,D11,"3.016", ,odstraněno,Horní Počernice,Hlavní město Praha
14.63913,50.10877,D11,"2.99", ,odstraněno,Horní Počernice,Hlavní město Praha
14.63678,50.10866,D11,"2.846", ,odstraněno,Horní Počernice,Hlavní město Praha
14.62912,50.10699,D11,"2.269", ,odstraněno,Horní Počernice,Hlavní město Praha
14.62311,50.10506,D11,"1.77", ,odstraněno,Horní Počernice,Hlavní město Praha
14.62071,50.10471,D11,"1.618", ,odstraněno,Horní Počernice,Hlavní město Praha
14.61913,50.10373,D11,"1.448", ,odstraněno,Horní Počernice,Hlavní město Praha
14.6164,50.10288,D11,"1.232",most,odstraněno,Horní Počernice,Hlavní město Praha
14.60396,50.09871,D11,"0.223", ,odstraněno,Horní Počernice,Hlavní město Praha
14.5978,50.09901,D11,"0.177", ,odstraněno,Horní Počernice,Hlavní město Praha
14.59789,50.09849,D11,"0.202",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.59807,50.09848,D11,"0.195",samostatně,řešeno,Horní Počernice,Hlavní město Praha
14.6103,50.10004,D11,"0.691",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.26845,50.04911,D5,"0.015",pilon,řešeno,Třebonice,Hlavní město Praha
14.62176,50.12735,D10,"3,467",most,řešeno,Horní Počernice,Hlavní město Praha
14.62347,50.12766,D10,"3,592", ,odstraněno,Horní Počernice,Hlavní město Praha
14.51914,50.01865,D1,"2.61",pilon,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.52984,50.01599,D1,"3.40",Oplocení,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.53221,50.0136,D1,"3.708",pilon,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.53179,50.01316,D1,"3.748",pilon,odstraněno,Šeberov,Hlavní město Praha
14.54656,50.00893,D1,"4.899",most,odstraněno,Újezd u Průhonic,Hlavní město Praha
14.6473,50.11101,D11,"3.642",pilon,řešeno,Horní Počernice,Hlavní město Praha
14.50001,50.02615,D1,"1.009",pilon,řešeno,Chodov,Hlavní město Praha
